Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
ABM,ABM INDUSTRIES INC.,Equity,0.3057,40.39,2249694,"$90,865,141",90865140.66,Consumer Discretionary,2024901,US0009571003,New York Stock Exchange Inc.
AEIS,ADVANCED ENERGY INDUSTRIES INC.,Equity,0.329,61.56,1588439,"$97,784,305",97784304.84,Consumer Discretionary,2049175,US0079731008,NASDAQ
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Equity,0.3317,62.65,1573457,"$98,577,081",98577081.05,Consumer Discretionary,2086309,US03820C1053,New York Stock Exchange Inc.
AKR,ACADIA REALTY TRUST REIT,Equity,0.3466,31.76,3243367,"$103,009,336",103009335.92,Consumer Discretionary,2566522,US0042391096,New York Stock Exchange Inc.
AKS,AK STEEL HOLDING CORP.,Equity,0.3725,8.84,12523812,"$110,710,498",110710498.08,Consumer Discretionary,2067735,US0015471081,New York Stock Exchange Inc.
ALE,ALLETE INC.,Equity,0.4447,66.59,1984848,"$132,171,028",132171028.32,Consumer Discretionary,B02R1L6,US0185223007,New York Stock Exchange Inc.
ALGT,ALLEGIANT TRAVEL CO.,Equity,0.3042,171.4,527547,"$90,421,556",90421555.8,Consumer Discretionary,B15M2C3,US01748X1028,NASDAQ
ASGN,ON ASSIGNMENT INC.,Equity,0.322,48.7,1964844,"$95,687,903",95687902.8,Consumer Discretionary,2658720,US6821591087,New York Stock Exchange Inc.
AVA,AVISTA CORP.,Equity,0.3427,39.34,2588658,"$101,837,806",101837805.72,Consumer Discretionary,2942605,US05379B1070,New York Stock Exchange Inc.
AXE,ANIXTER INTERNATIONAL INC.,Equity,0.3274,84.85,1146801,"$97,306,065",97306064.85,Consumer Discretionary,2468844,US0352901054,New York Stock Exchange Inc.
B,BARNES GROUP INC.,Equity,0.3408,50.25,2015813,"$101,294,603",101294603.25,Consumer Discretionary,2080732,US0678061096,New York Stock Exchange Inc.
BCO,THE BRINKS COMPANY,Equity,0.3205,52.75,1805524,"$95,241,391",95241391,Consumer Discretionary,2691305,US1096961040,New York Stock Exchange Inc.
BCPC,BALCHEM CORP.,Equity,0.3592,83.87,1273029,"$106,768,942",106768942.23,Consumer Discretionary,2072074,US0576652004,NASDAQ
BGS,B AND G FOODS INC,Equity,0.4215,46.8,2676536,"$125,261,885",125261884.8,Consumer Discretionary,B034L49,US05508R1068,New York Stock Exchange Inc.
BLKB,BLACKBAUD INC.,Equity,0.4737,73.43,1917088,"$140,771,772",140771771.84,Consumer Discretionary,2458878,US09227Q1004,NASDAQ
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.2854,1,84816880,"$84,816,881",84816880.5,Consumer Discretionary,-,US0669224778,-
CACI,CACI INTERNATIONAL INC. CL A,Equity,0.4187,126.7,982112,"$124,433,590",124433590.4,Consumer Discretionary,2159267,US1271903049,New York Stock Exchange Inc.
CATM,CARDTRONICS PLC CLASS A,Equity,0.2746,44.63,1828500,"$81,605,955",81605955,Consumer Discretionary,BYT1841,GB00BYT18414,NASDAQ
CBU,COMMUNITY BANK SYSTEM INC.,Equity,0.3613,60.05,1787931,"$107,365,257",107365256.55,Consumer Discretionary,2222062,US2036071064,New York Stock Exchange Inc.
CHE,CHEMED CORP.,Equity,0.3807,173.89,650754,"$113,159,613",113159613.06,Consumer Discretionary,2190084,US16359R1032,New York Stock Exchange Inc.
CMD,CANTEL MEDICAL CORP,Equity,0.409,83.19,1461241,"$121,560,639",121560638.79,Consumer Discretionary,2188153,US1380981084,New York Stock Exchange Inc.
COHR,COHERENT INC.,Equity,0.6413,193.6,984475,"$190,594,360",190594360,Consumer Discretionary,2208374,US1924791031,NASDAQ
COLB,COLUMBIA BANKING SYSTEM INC.,Equity,0.3223,40.97,2338288,"$95,799,659",95799659.36,Consumer Discretionary,2176608,US1972361026,NASDAQ
COR,CORESITE REALTY CORP.,Equity,0.3968,86.37,1365461,"$117,934,867",117934866.57,Consumer Discretionary,B3T3VV8,US21870Q1058,New York Stock Exchange Inc.
CPS,COOPER STANDARD HOLDINGS INC,Equity,0.2694,112.81,709617,"$80,051,894",80051893.77,Consumer Discretionary,B51JS17,US21676P1030,New York Stock Exchange Inc.
CRZO,CARRIZO OIL AND GAS INC,Equity,0.2732,33.09,2453369,"$81,181,980",81181980.21,Consumer Discretionary,2092801,US1445771033,NASDAQ
CVBF,CVB FINANCIAL CORP.,Equity,0.3207,23.49,4057141,"$95,302,242",95302242.09,Consumer Discretionary,2160645,US1266001056,NASDAQ
DAR,DARLING INGREDIENTS INC,Equity,0.2841,12.71,6644342,"$84,449,587",84449586.82,Consumer Discretionary,2250289,US2372661015,New York Stock Exchange Inc.
DORM,DORMAN PRODUCTS INC.,Equity,0.2933,71.75,1214826,"$87,163,766",87163765.5,Consumer Discretionary,2718594,US2582781009,NASDAQ
DRH,DIAMONDROCK HOSPITALITY CO.,Equity,0.306,11.25,8084249,"$90,947,801",90947801.25,Consumer Discretionary,B090B96,US2527843013,New York Stock Exchange Inc.
EFII,ELECTRONICS FOR IMAGING INC.,Equity,0.2985,47.01,1887458,"$88,729,401",88729400.58,Consumer Discretionary,2310202,US2860821022,NASDAQ
EVR,EVERCORE PARTNERS INC. CL A,Equity,0.4246,80.45,1568516,"$126,187,112",126187112.2,Consumer Discretionary,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
FCFS,FIRSTCASH INC,Equity,0.2864,43.55,1954232,"$85,106,804",85106803.6,Consumer Discretionary,BZCG9B4,US33767D1054,New York Stock Exchange Inc.
FFIN,FIRST FINANCIAL BANKSHARES INC.,Equity,0.3918,43.75,2661393,"$116,435,944",116435943.75,Consumer Discretionary,2266026,US32020R1095,NASDAQ
FIVE,FIVE BELOW INC,Equity,0.296,39.74,2213430,"$87,961,708",87961708.2,Consumer Discretionary,B85KFY9,US33829M1018,NASDAQ
FMBI,FIRST MIDWEST BANCORP,Equity,0.2702,24.64,3258653,"$80,293,210",80293209.92,Consumer Discretionary,2341439,US3208671046,NASDAQ
FNGN,FINANCIAL ENGINES INC,Equity,0.2883,39.95,2144867,"$85,687,437",85687436.65,Consumer Discretionary,B65V2X6,US3174851002,NASDAQ
FUL,H.B. FULLER CO.,Equity,0.3373,49.42,2028458,"$100,246,394",100246394.36,Consumer Discretionary,2354664,US3596941068,New York Stock Exchange Inc.
GBCI,GLACIER BANCORP INC.,Equity,0.3799,36.63,3082720,"$112,920,034",112920033.6,Consumer Discretionary,2370585,US37637Q1058,NASDAQ
GEO,GEO GROUP REIT INC,Equity,0.4591,45.14,3022543,"$136,437,591",136437591.02,Consumer Discretionary,BNLYWQ1,US36162J1060,New York Stock Exchange Inc.
GWB,GREAT WESTERN BANCORP INC,Equity,0.3355,42.1,2368256,"$99,703,578",99703577.6,Consumer Discretionary,BRHZ1X6,US3914161043,New York Stock Exchange Inc.
HA,HAWAIIAN HOLDINGS INC.,Equity,0.3635,50.3,2148071,"$108,047,971",108047971.3,Consumer Discretionary,2408044,US4198791018,NASDAQ
HCSG,HEALTHCARE SERVICES GROUP INC.,Equity,0.4091,41.55,2925904,"$121,571,311",121571311.2,Consumer Discretionary,2417619,US4219061086,NASDAQ
HI,HILLENBRAND INC.,Equity,0.312,36.45,2543910,"$92,725,520",92725519.5,Consumer Discretionary,B2QGDP1,US4315711089,New York Stock Exchange Inc.
HOMB,HOME BANCSHARES INC.,Equity,0.4693,28.01,4979433,"$139,473,918",139473918.33,Consumer Discretionary,B17MTL9,US4368932004,NASDAQ
HOPE,HOPE BANCORP INC,Equity,0.3726,21.63,5119763,"$110,740,474",110740473.69,Consumer Discretionary,BYN87K7,US43940T1097,NASDAQ
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Equity,0.3584,44.16,2412152,"$106,520,632",106520632.32,Consumer Discretionary,2248693,US4579852082,NASDAQ
IBKR,INTERACTIVE BROKERS GROUP INC.,Equity,0.357,38.69,2742276,"$106,098,658",106098658.44,Consumer Discretionary,B1WT4X2,US45841N1072,NASDAQ
ICUI,ICU MEDICAL INC.,Equity,0.3044,152.2,594351,"$90,460,222",90460222.2,Consumer Discretionary,2451918,US44930G1076,NASDAQ
IIVI,II-VI INC.,Equity,0.2859,39,2179016,"$84,981,624",84981624,Consumer Discretionary,2452698,US9021041085,NASDAQ
ILG,ILG INC,Equity,0.2718,18.98,4255398,"$80,767,454",80767454.04,Consumer Discretionary,BYT3YH2,US44967H1014,NASDAQ
ITRI,ITRON INC.,Equity,0.2879,63.95,1337864,"$85,556,403",85556402.8,Consumer Discretionary,2471949,US4657411066,NASDAQ
JBT,JOHN BEAN TECHNOLOGIES CORP.,Equity,0.335,85,1171337,"$99,563,645",99563645,Consumer Discretionary,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
KNX,KNIGHT TRANSPORTATION INC.,Equity,0.2931,32.8,2655941,"$87,114,865",87114864.8,Consumer Discretionary,2487690,US4990641031,New York Stock Exchange Inc.
KS,KAPSTONE PAPER & PACKAGING CORP.,Equity,0.2786,23.33,3549320,"$82,805,636",82805635.6,Consumer Discretionary,B0L2NP0,US48562P1030,New York Stock Exchange Inc.
LAD,LITHIA MOTORS INC. CL A,Equity,0.3181,100.24,943110,"$94,537,346",94537346.4,Consumer Discretionary,2515030,US5367971034,New York Stock Exchange Inc.
LCII,LCI INDUSTRIES,Equity,0.3614,108.95,985865,"$107,409,992",107409991.75,Consumer Discretionary,BYQ44Y5,US50189K1034,New York Stock Exchange Inc.
LGND,LIGAND PHARMACEUTICALS INC.,Equity,0.2725,105.71,766110,"$80,985,488",80985488.1,Consumer Discretionary,2501578,US53220K5048,NASDAQ
LITE,LUMENTUM HOLDINGS INC,Equity,0.376,51.1,2186768,"$111,743,845",111743844.8,Consumer Discretionary,BYM9ZP2,US55024U1097,NASDAQ
LXP,LEXINGTON REALTY TRUST REIT,Equity,0.3235,11.17,8608216,"$96,153,773",96153772.72,Consumer Discretionary,2139151,US5290431015,New York Stock Exchange Inc.
MASI,MASIMO CORP.,Equity,0.5027,84.11,1776322,"$149,406,443",149406443.42,Consumer Discretionary,B1YWR63,US5747951003,NASDAQ
