iShares Core S&P/TSX Capped Composite Index ETF
Inception Date,"Feb 16, 2001"
Fund Holdings as of,"30-Jun-2016"
Total Net Assets ($000s),"$2,425,040,039"
Shares Outstanding,"108,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"RY","ROYAL BANK OF CANADA","6.28","76.34","1,999,850","$152,668,549","152,668,549.00","Financials","2754383","780087102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TD","TORONTO DOMINION","5.68","55.48","2,491,043","$138,203,066","138,203,065.64","Financials","2897222","891160509","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BNS","BANK OF NOVA SCOTIA","4.21","63.31","1,616,205","$102,321,939","102,321,938.55","Financials","2076281","064149107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SU","SUNCOR ENERGY INC.","3.30","35.84","2,236,408","$80,152,863","80,152,862.72","Energy","B3NB1P2","867224107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CNR","CANADIAN NATIONAL RAILWAY COMPANY","3.29","76.29","1,047,429","$79,908,358","79,908,358.41","Industrials","2180632","136375102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BCE","BCE INC","2.94","61.14","1,167,613","$71,387,859","71,387,858.82","Telecommunications","B188TH2","05534B760","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BMO","BANK OF MONTREAL","2.91","81.95","864,790","$70,869,541","70,869,540.50","Financials","2076009","063671101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ENB","ENBRIDGE INC","2.81","54.73","1,248,505","$68,330,679","68,330,678.65","Energy","2466149","29250N105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CNQ","CANADIAN NATURAL RESOURCES LIMITED","2.42","39.86","1,474,615","$58,778,154","58,778,153.90","Energy","2171573","136385101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TRP","TRANSCANADA CORPORATION","2.27","58.46","943,993","$55,185,831","55,185,830.78","Energy","2665184","89353D107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","2.12","97.04","530,320","$51,462,253","51,462,252.80","Financials","2170525","136069101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","2.05","42.74","1,166,596","$49,860,313","49,860,313.04","Financials","2092599","112585104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MFC","MANULIFE FINANCIAL CORP","1.93","17.67","2,650,315","$46,831,066","46,831,066.05","Financials","2492519","56501R106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ABX","BARRICK GOLD CORP","1.78","27.58","1,565,733","$43,182,916","43,182,916.14","Materials","2024644","067901108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SLF","SUN LIFE FINANCIAL INC","1.44","42.44","823,248","$34,938,645","34,938,645.12","Financials","2566124","866796105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"T","TELUS CORP.","1.36","41.60","797,157","$33,161,731","33,161,731.20","Telecommunications","2381093","87971M103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ATD.B","ALIMENTATION COUCHE TARD SUB VOTIN","1.29","55.48","564,169","$31,300,096","31,300,096.12","Consumer Staples","2011646","01626P403","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CP","CANADIAN PACIFIC RAILWAY LTD","1.28","166.33","187,174","$31,132,651","31,132,651.42","Industrials","2793115","13645T100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"G","GOLDCORP INC","1.14","24.72","1,118,247","$27,643,066","27,643,065.84","Materials","2676302","380956409","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","1.03","52.30","481,142","$25,163,727","25,163,726.60","Telecommunications","2169051","775109200","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"POT","POTASH CORPORATION OF SASKATCHEWAN","0.97","21.00","1,127,550","$23,678,550","23,678,550.00","Materials","2696980","73755L107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FNV","FRANCO NEVADA CORP","0.96","98.24","238,850","$23,464,624","23,464,624.00","Materials","B29NF31","351858105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"MG","MAGNA INTERNATIONAL INC.","0.94","45.35","506,383","$22,964,469","22,964,469.05","Consumer Discretionary","2554475","559222401","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
