%sector=rank1_goodvalue
BGFV	Retail - Miscellaneous
CCRN	Staffing Firms
COT	Beverages - Soft drinks
CXW	REIT and Equity Trust - Other
FNSR	Fiber Optics
GTN	Broadcast Radio and Television
JBL	Electronics - Manufacturing Services
LUK	Diversified Operations
MDR	Oil and Gas - Mechanical and and Equitment
MTZ	Building Products - Heavy Construction
NCS	Building Products - Miscellaneous
ORI	Insurance - Multi line
PLCE	Retail - Apparel and Shoes
RUSHA	Automotive - Retail and Whole Sales
SCMP	Medical - Drugs
WCG	Medical - HMOs
WNC	Automotive - Original Equipment
